category,sample_id,Malignant,Boundary,Normal
Epi-Epi,GSM5924043_frozen_a_3,0.496615640945537,0.0,0.65806524748222
Epi-Epi,GSM5924044_frozen_a_15,0.655793686983837,0.462980604351636,0.444725508037609
Epi-Epi,GSM5924045_frozen_a_17,1.0,1.0,0.592959619300542
Epi-Epi,GSM5924046_frozen_b_1,0.817587641117052,1.0,0.407500436071864
Epi-Epi,GSM5924048_frozen_b_13,0.21656050955414,0.926470588235294,0.593748013332243
Epi-Epi,GSM5924049_frozen_b_18,0.805961344946042,0.722627737226277,0.56826250213347
Epi-Epi,GSM5924050_frozen_c_2,1.0,1.0,0.445073883102052
Epi-Epi,GSM5924051_frozen_c_5,0.46938775510204,0.688741721854304,0.406780626780626
Epi-Epi,GSM5924052_frozen_c_23,0.554373522458628,0.571415373244641,0.506874302606982
Epi-Epi,GSM6030901_patient_1,0.334299628942486,0.321052631578947,0.368860305691725
Epi-Epi,GSM6030902_patient_2,0.0,0.455882352941176,0.228062394530742
Epi-Epi,GSM6177599_NYU_BRCA0_Vis,0.60958904109589,0.463768115942029,0.392420784459423
Epi-Epi,GSM6177603_NYU_BRCA2_Vis,0.238816148390616,0.324727668845315,0.23701476785409
Epi-Epi,GSM6177607_NYU_GIST1_Vis,0.0,0.305309734513274,0.266635367380452
Epi-Epi,GSM6177612_NYU_LIHC1_Vis,0.841269841269841,1.0,0.481068189452468
Epi-Epi,GSM6177614_NYU_OVCA1_Vis,0.60655737704918,0.728519130845536,0.611654299432562
Epi-Epi,GSM6177617_NYU_OVCA3_Vis,0.0,1.0,0.714287918055041
Epi-Epi,GSM6177618_NYU_PDAC1_Vis,0.574074074074074,0.428017467008292,0.399023282935565
Epi-Epi,GSM6177623_NYU_UCEC3_Vis,0.459893923520167,0.372685185185185,0.303708791208791
Epi-Epi,GSM6339631_s1,1.0,0.0,0.258676751254682
Epi-Epi,GSM6339632_s2,0.321170610211706,0.501497005988023,0.193061494783264
Epi-Epi,GSM6339633_s3,0.289175265953205,0.0,0.305577122153209
Epi-Epi,GSM6339634_s4,0.0,0.0,0.161297111001699
Epi-Epi,GSM6339635_s5,0.474452554744525,0.528690452193778,0.0887465051258154
Epi-Epi,GSM6339636_s6,0.0,0.0,0.155676440814273
Epi-Epi,GSM6339640_s10,0.314229892543145,0.310126582278481,0.135165127508261
Epi-Epi,GSM6339641_s11,0.0,0.545551169146674,0.165063804023844
Epi-Epi,GSM6339642_s12,0.225529265255292,0.533509700176366,0.21181757080494
Epi-Epi,GSM6433585_092A,0.371840054218908,1.0,0.269997519337888
Epi-Epi,GSM6433586_092B,0.0,1.0,0.302243868233715
Epi-Epi,GSM6433587_093A,0.403742283950617,1.0,0.343083831030123
Epi-Epi,GSM6433588_093B,0.346850649350649,0.878378378378378,0.952380952380952
Epi-Epi,GSM6433589_093C,0.289091305295271,0.481072294467709,0.624546095770526
Epi-Epi,GSM6433590_093D,0.298969072164948,0.0,0.332121212121212
Epi-Epi,GSM6433592_094B,0.414213624894869,0.281609195402298,0.341226087435911
Epi-Epi,GSM6433593_094C,0.721014492753623,0.615900383141762,0.425889181508071
Epi-Epi,GSM6433594_094D,0.0,0.764705882352941,0.379326490185485
Epi-Epi,GSM6433595_095A,0.496240601503759,0.0,0.289428116628489
Epi-Epi,GSM6433596_095B,0.246912550066755,0.603174603174603,0.185781799899446
Epi-Epi,GSM6433597_117B,0.195121951219512,0.375,0.487463279294962
Epi-Epi,GSM6433598_117C,0.412342009002456,0.568965517241379,0.337628865979381
Epi-Epi,GSM6433599_117D,0.432848819286022,0.831775700934579,0.519531505594451
Epi-Epi,GSM6433600_117E,0.392006402410319,0.0,0.0
Epi-Epi,GSM6433601_118B,0.342465753424657,0.0,0.301894940052834
Epi-Epi,GSM6433602_118C,0.0,0.0,0.253823110085203
Epi-Epi,GSM6433603_118D,0.0,0.459016393442622,0.352394376248929
Epi-Epi,GSM6433604_118E,0.28235294117647,0.35576923076923,0.328861644160151
Epi-Epi,GSM6433605_119B,1.0,1.0,0.521562776304155
Epi-Epi,GSM6433606_119C,0.2,0.529914529914529,0.366210526315789
Epi-Epi,GSM6433607_119D,0.387807865892972,1.0,0.183628522607068
Epi-Epi,GSM6433608_119E,0.29701740145819,0.528846153846153,0.21491559186822
Epi-Epi,GSM6433609_120B,0.387211221122112,0.55875353996224,0.43059826774227
Epi-Epi,GSM6433610_120C,0.349646389941758,0.2,0.316417700570044
