"category","sample_id","Region","value"
"Epi-Epi","GSM6339631_s1","Malignant",1
"Epi-Epi","GSM6339631_s1","Boundary",0
"Epi-Epi","GSM6339631_s1","Normal",0.258676751254682
"Epi-Epi","GSM6339632_s2","Malignant",0.321170610211706
"Epi-Epi","GSM6339632_s2","Boundary",0.501497005988023
"Epi-Epi","GSM6339632_s2","Normal",0.193061494783264
"Epi-Epi","GSM6339633_s3","Malignant",0.289175265953205
"Epi-Epi","GSM6339633_s3","Boundary",0
"Epi-Epi","GSM6339633_s3","Normal",0.305577122153209
"Epi-Epi","GSM6339634_s4","Malignant",0
"Epi-Epi","GSM6339634_s4","Boundary",0
"Epi-Epi","GSM6339634_s4","Normal",0.161297111001699
"Epi-Epi","GSM6339635_s5","Malignant",0.474452554744525
"Epi-Epi","GSM6339635_s5","Boundary",0.528690452193778
"Epi-Epi","GSM6339635_s5","Normal",0.0887465051258154
"Epi-Epi","GSM6339636_s6","Malignant",0
"Epi-Epi","GSM6339636_s6","Boundary",0
"Epi-Epi","GSM6339636_s6","Normal",0.155676440814273
"Epi-Epi","GSM6339640_s10","Malignant",0.314229892543145
"Epi-Epi","GSM6339640_s10","Boundary",0.310126582278481
"Epi-Epi","GSM6339640_s10","Normal",0.135165127508261
"Epi-Epi","GSM6339641_s11","Malignant",0
"Epi-Epi","GSM6339641_s11","Boundary",0.545551169146674
"Epi-Epi","GSM6339641_s11","Normal",0.165063804023844
"Epi-Epi","GSM6339642_s12","Malignant",0.225529265255292
"Epi-Epi","GSM6339642_s12","Boundary",0.533509700176366
"Epi-Epi","GSM6339642_s12","Normal",0.21181757080494
"Epi-Epi","GSM6433585_092A","Malignant",0.371840054218908
"Epi-Epi","GSM6433585_092A","Boundary",1
"Epi-Epi","GSM6433585_092A","Normal",0.269997519337888
"Epi-Epi","GSM6433586_092B","Malignant",0
"Epi-Epi","GSM6433586_092B","Boundary",1
"Epi-Epi","GSM6433586_092B","Normal",0.302243868233715
"Epi-Epi","GSM6433587_093A","Malignant",0.403742283950617
"Epi-Epi","GSM6433587_093A","Boundary",1
"Epi-Epi","GSM6433587_093A","Normal",0.343083831030123
"Epi-Epi","GSM6433588_093B","Malignant",0.346850649350649
"Epi-Epi","GSM6433588_093B","Boundary",0.878378378378378
"Epi-Epi","GSM6433588_093B","Normal",0.952380952380952
"Epi-Epi","GSM6433589_093C","Malignant",0.289091305295271
"Epi-Epi","GSM6433589_093C","Boundary",0.481072294467709
"Epi-Epi","GSM6433589_093C","Normal",0.624546095770526
"Epi-Epi","GSM6433590_093D","Malignant",0.298969072164948
"Epi-Epi","GSM6433590_093D","Boundary",0
"Epi-Epi","GSM6433590_093D","Normal",0.332121212121212
"Epi-Epi","GSM6433592_094B","Malignant",0.414213624894869
